artists,album_name,track_name
Verzache;Swell,D97,Waiting for You
Tristam;Braken,Flight,Flight
Shankar;Ehsaan;Loy;Alisha Chinai;Shankar Mahadevan;Gulzar,Bunty Aur Babli,Kajra Re
Ludwig van Beethoven;Paul Lewis,"Beethoven: Piano Sonatas, Vol.3","Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto"
Ludwig van Beethoven;Nelly Kokinos,Beethoven Greatest Hits,"Für Elise, WoO 59"
Frédéric Chopin;Mikhail Pletnev,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo","Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth."
Yiruma,The Best - Reminiscent 10th Anniversary,River Flows in You
Erik Satie;Alena Cherny,Gnossienne No. 1,Gnossienne No. 1
Claude Debussy;Martin Jones,Debussy: Clair De Lune and Other Piano Favourites,"Clair de Lune, L. 32"
Dream Theater,Images and Words,Another Day
Wolfgang Amadeus Mozart;Lisa Beckley;Elena Filipova;Magdaléna Hajóssyová;Peter Mikulas;Michel Piquemal;Gloria Scalchi;Michel Piquemal Vocal Ensemble;Hungarian State Opera Chorus;Oxford Schola Cantorum;Slovak Philharmonic Chorus;Hungarian State Opera Orchestra;Orchestre De La Cite;Oxford Camerata;Slovak Philharmonic,Requiem - Music To Die For,Lacrimosa
Yiruma,The Best - Reminiscent 10th Anniversary,Kiss the Rain
Dream Theater,Images and Words,Pull Me Under
Dream Theater,"Metropolis, Pt. 2: Scenes from a Memory",Scene Eight: The Spirit Carries On
"Wolfgang Amadeus Mozart;Michael Finnissy;Academy of Ancient Music;Stephen Cleobury;Choir of King's College, Cambridge",Mozart: Requiem Realisations,"Requiem, K. 626: Lacrimosa"
Gesaffelstein;The Weeknd,Hyperion,Lost in the Fire (feat. The Weeknd)
Glee Cast,"Glee: The Music, The Complete Season Three",Stereo Hearts (Glee Cast Version)
Hyper,Lies,Spoiler - Original Mix
Glee Cast;Darren Criss,Glee: The Music presents The Warblers,Somewhere Only We Know (feat. Darren Criss)
Glee Cast;Jonathan Groff,"Glee: The Music, Volume 3 Showstoppers",Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff)
Gesaffelstein,Aleph,Pursuit
Glee Cast,Glee: The Music presents Glease,Hopelessly Devoted To You (Glee Cast Version)
Glee Cast,The Quarterback,If I Die Young (Glee Cast Version)
Glee Cast;2CELLOS,"Glee: The Music, The Complete Season Three",Smooth Criminal (Glee Cast Version) (feat. 2CELLOS)
Glee Cast,"Glee: The Music, Season 4 Volume 1",The Scientist (Glee Cast Version)
Glee Cast,"Glee: The Music, Volume 4",Marry You
Glee Cast,"Glee: The Music, Volume 4",Valerie - Glee Cast Version
Daniel Deluxe,Darkness,Darkness
Glee Cast,"Glee: The Music, Volume 5",Get It Right
Glee Cast,"Glee: The Music, Volume 7",Rumour Has It / Someone Like You
Glee Cast,"Glee: The Music, Volume 5",Loser Like Me
Glee Cast,"Glee: The Music, The Complete Season Three",Cough Syrup (Glee Cast Version)
Glee Cast,"Glee: The Music, The Complete Season Three",Survivor / I Will Survive
Glee Cast,"Glee: The Music, Season 4 Volume 1",Give Your Heart A Break (Glee Cast Version)
Glee Cast;Gwyneth Paltrow,"Glee: The Music, Volume 4",Forget You (feat. Gwyneth Paltrow)
Glee Cast,"Glee: The Music, Volume 7",Uptown Girl
Glee Cast,"Glee: The Music, Volume 3 Showstoppers",Bad Romance (Glee Cast Version)
Glee Cast,"Glee: The Music, Season 4 Volume 1",Mine (Glee Cast Version)
Glee Cast,"Glee: The Music, Season 4 Volume 1",Some Nights (Glee Cast Version)
Glee Cast,"Glee: The Music, Volume 6",I Feel Pretty / Unpretty
Glee Cast,"Glee: The Music, Volume 4",Lucky
Glee Cast,"Glee: The Music, Volume 4",Empire State of Mind
Glee Cast,"Glee: The Music, Volume 4",Toxic
Glee Cast,"Glee: The Music, The Complete Season Three",It's All Coming Back To Me Now (Glee Cast Version)
Glee Cast,"Glee: The Music, Volume 4","River Deep, Mountain High"
Glee Cast,"Glee: The Music, Volume 4",Billionaire
Glee Cast;Gwyneth Paltrow,"Glee: The Music, Volume 5",Landslide (feat. Gwyneth Paltrow)
Glee Cast,"Glee: The Music, Volume 3 Showstoppers",Gives You Hell (Glee Cast Version)
Glee Cast,"Glee: The Music, The Complete Season One",I Say A Little Prayer (Glee Cast Version)
Glee Cast,"Glee: The Music, The Complete Season One",It's My Life / Confessions Part II
Glee Cast;Jonathan Groff,"Glee: The Music, Volume 6",Rolling In The Deep (feat. Jonathan Groff)
Glee Cast,The Quarterback,Make You Feel My Love (Glee Cast Version)
Glee Cast,Glee: The Music presents Glease,You're The One That I Want (Glee Cast Version)
Glee Cast;Darren Criss,Glee: The Music presents The Warblers,Raise Your Glass (feat. Darren Criss)
Glee Cast,"Glee: The Music, The Complete Season One",Halo / Walking On Sunshine
Glee Cast,"Glee: The Music, Volume 5",Thriller / Heads Will Roll
Glee Cast,The Quarterback,Seasons Of Love (Glee Cast Version)
Jon Lajoie,You Want Some of This?,Everyday Normal Guy 2
Pink Guy,Pink Season,Stfu
Pink Guy,Pink Season,She's So Nice
"""Weird Al"" Yankovic",Bad Hair Day,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
Tenacious D,The Pick Of Destiny,Kickapoo
Tenacious D,Tenacious D,Fuck Her Gently
Tenacious D,The Pick Of Destiny,Classico
Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)"
Kane Brown;Swae Lee;Khalid,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid
Brad Paisley;Alison Krauss,Hits Alive,Whiskey Lullaby (feat. Alison Krauss)
Maren Morris;Hozier,The Bones (with Hozier),The Bones - with Hozier
Maren Morris,GIRL,The Bones
Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber) [Piano]","10,000 Hours (with Justin Bieber) - Piano"
Carrie Underwood,Some Hearts,Before He Cheats
Spencer Crandall,My Person,My Person
Kane Brown,Kane Brown (Deluxe Edition),Heaven
Jake Owen,Greetings From...Jake,Made For You
Lonestar,Lonely Grill,Amazed
Gabby Barrett,Goldmine,I Hope
Dolly Parton,9 To 5 And Odd Jobs,9 to 5
Kane Brown;Lauren Alaina,Kane Brown,What Ifs (feat. Lauren Alaina)
The Handsome Family,Singing Bones,Far From Any Road
LeAnn Rimes,Greatest Hits,How Do I Live
Leo Sayer,The Show Must Go On: The Leo Sayer Anthology,More Than I Can Say - Remastered
The Chicks,Fly,Cowboy Take Me Away
Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),Chattahoochee
Alan Jackson,Good Time,Good Time
Russell Dickerson,Yours,Yours
Maren Morris,HERO (Deluxe Edition),My Church
Brooks & Dunn,#1s ... and then some,Boot Scootin' Boogie
Blake Shelton;Gwen Stefani,Fully Loaded: God's Country,Nobody But You (Duet with Gwen Stefani)
Akon;Hamsika Iyer,Ra-One,Chammak Challo
Gym Class Heroes;Adam Levine,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine)
The Chainsmokers;Coldplay,Memories...Do Not Open,Something Just Like This
Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon
Christina Perri,A Thousand Years,A Thousand Years
The Chainsmokers;ILLENIUM;Lennon Stella,World War Joy,Takeaway
The Chainsmokers;Daya,Don't Let Me Down,Don't Let Me Down
Charlie Puth,Cheating on You,Cheating on You
The Chainsmokers;Bebe Rexha,World War Joy,Call You Mine
Martin Garrix;Bebe Rexha,In the Name of Love,In the Name of Love
Marshmello;Khalid,Silence,Silence
Dua Lipa,Dua Lipa (Deluxe),New Rules
Clean Bandit;Sean Paul;Anne-Marie,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie)
Jason Derulo,Take You Dancing,Take You Dancing
Dua Lipa,Dua Lipa (Deluxe),IDGAF
Shakira;Wyclef Jean,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean)
Chris Brown;Drake,Indigo,No Guidance (feat. Drake)
ZAYN,Mind Of Mine (Deluxe Edition),PILLOWTALK
Jason Derulo;Nicki Minaj;Ty Dolla $ign,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Shakira;Freshlyground,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
Sia;Diplo;Labrinth;LSD,"LABRINTH, SIA & DIPLO PRESENT... LSD","Genius (feat. Sia, Diplo, and Labrinth)"
Calvin Harris;Rihanna,This Is What You Came For,This Is What You Came For
Becky G,Shower,Shower
Camila Cabello;DaBaby,Romance,My Oh My (feat. DaBaby)
The Chainsmokers;Phoebe Ryan,All We Know,All We Know
Britney Spears,Blackout,Gimme More
Doja Cat,Hot Pink,Streets
Chris Brown;Young Thug,Slime & B,Go Crazy
Bruno Mars,24K Magic,That's What I Like
Martin Garrix;Dua Lipa,Scared to Be Lonely,Scared to Be Lonely
Backstreet Boys,Millennium,I Want It That Way
Britney Spears,Femme Fatale (Deluxe Version),Criminal
K-391;Alan Walker;Tungevaag;Mangoo,Play,Play
Sean Paul,The Trinity,Temperature
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are
Sia;Sean Paul,Cheap Thrills (feat. Sean Paul),Cheap Thrills (feat. Sean Paul)
Little Mix,Glory Days (Expanded Edition),Power
ZAYN,Icarus Falls,Let Me
Doja Cat,Hot Pink,Say So
Zara Larsson,So Good,Lush Life
SLANDER;Dylan Matthew,Love Is Gone,Love Is Gone
Bruno Mars,Unorthodox Jukebox,Locked out of Heaven
The Chainsmokers;5 Seconds of Summer,World War Joy,Who Do You Love
Jennifer Lopez,Ain't Your Mama,Ain't Your Mama
Martin Garrix;Macklemore;Fall Out Boy,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
Sean Paul,Dutty Rock,Get Busy
Koffee;Gunna,W (feat. Gunna),W (feat. Gunna)
Maleek Berry,Kontrol,Kontrol
Koffee,Rapture EP,Toast
Sean Paul;Sasha;Jeremy Harding;Murray Elias,Dutty Rock,I'm Still in Love with You (feat. Sasha)
Sean Paul,The Trinity,Give It Up to Me
Sister Nancy,One Two,Bam Bam
Sean Paul,The Trinity,We Be Burnin'
Wizkid;Drake,Sounds From The Other Side,Come Closer (feat. Drake)
J Capri;Charly Black,Whine & Kotch,Whine & Kotch
Gyptian,Hold You,Hold You - Hold Yuh
Sean Paul;Beyoncé,Dutty Rock,Baby Boy (feat. Beyoncé )
Sean Paul,Dutty Rock,Like Glue
Sean Paul,Dutty Rock,Gimme the Light
Chronixx,Dread & Terrible,Here Comes Trouble
Protoje;Ky-Mani Marley,The Seven Year Itch,Rasta Love Feat. Ky-Mani Marley
Vybz Kartel,King Of The Dancehall,Fever
Tarrus Riley,Parables,She's Royal
Suicide Silence,The Black Crown,You Only Live Once
Death,The Sound of Perseverance - Reissue,Voice of the Soul
Opeth,Damnation,In My Time of Need
Cannibal Corpse,Tomb Of The Mutilated,Hammer Smashed Face
Opeth,Damnation,Windowpane
Gojira,Magma,Silvera
Amon Amarth,Twilight Of The Thunder God,Twilight Of The Thunder God
Opeth,Ghost Reveries,Ghost of Perdition
Eluveitie,Slania,Inis Mona
In Flames,Clayman,Only for the Weak
Gojira,L'Enfant Sauvage (Special Edition),L'enfant sauvage
Arch Enemy,War Eternal,War Eternal
Arch Enemy,Doomsday Machine,Nemesis
Thy Art Is Murder,Hate,Reign of Darkness
Cannibal Corpse,Torture,Scourge of Iron
Amon Amarth,Jomsviking,Raise Your Horns
Amon Amarth,Fate of Norns,The Pursuit Of Vikings
Amon Amarth,Twilight Of The Thunder God,Guardians Of Asgaard
Exodus,Tempo of the Damned,Blacklist
Testament,The Ritual,Return to Serenity
Death,The Sound of Perseverance - Reissue,Spirit Crusher
Born Of Osiris,Tomorrow We Die Alive,Machine
After The Burial,Dig Deep,Lost In The Static
Gojira,L'Enfant Sauvage (Special Edition),The Gift of Guilt
Suicide Silence,The Cleansing,Unanswered
Suicide Silence,The Cleansing,No Pity for a Coward
Sepultura,Chaos A.D.,Refuse / Resist
Whitechapel,Our Endless War,The Saw Is the Law
In Flames,Reroute to Remain,Cloud Connected
Sepultura,Chaos A.D.,Territory
Obituary,Frozen In Time,Redneck Stomp
Sepultura,Roots,Ratamahatta
In Flames,A Sense of Purpose (The Mirror's Truth Version),Alias
I See Stars,Treehouse,Calm Snow
Exodus,Fabulous Disaster,The Toxic Waltz
Slayer,Show No Mercy,Black Magic
Soilwork,Figure Number Five,Distortion Sleep
Amon Amarth,Surtur Rising,War of the Gods
At The Gates,Slaughter Of The Soul,Slaughter Of The Soul
I See Stars,Treehouse,Running With Scissors
Strapping Young Lad,Alien,Love?
Route 94;Jess Glynne,My Love (feat. Jess Glynne),My Love (feat. Jess Glynne)
Claptone;JAW,No Eyes,No Eyes - Radio Edit
Nora En Pure,Come With Me,Come With Me - Radio Mix
Syn Cole;Kygo,"Armada Deep House Selection, Vol. 3 (The Finest Deep House Tunes)",Miami 82 - Kygo Remix
HNNY,If This Is House I Want My Money Back 3,Most Really Pretty Girls Have Pretty Ugly Feet
GAMPER & DADONI;De Hofnar,Oxas,Oxas
Moodymann;Amp Dog Knight,Black Mahogani,I'm Doing Fine (feat. Amp Dog Knight)
Modjo,Modjo (Remastered),Lady - Hear Me Tonight
George Benson,20/20,Nothing's Gonna Change My Love for You
Boney M.,Fantastic Boney M.,Rasputin - Single Version
Frankie Valli,The Very Best of Frankie Valli & The 4 Seasons,Can't Take My Eyes off You
Wham!,LAST CHRISTMAS,Last Christmas
Cyndi Lauper,She's So Unusual,Girls Just Want to Have Fun
Wham!,Make It Big,Wake Me Up Before You Go-Go
Alex Gaudino;Crystal Waters,Destination Calabria,Destination Calabria - Radio Edit
"Earth, Wind & Fire",Raise!,Let's Groove
Bonnie Tyler,The Very Best of Bonnie Tyler,Total Eclipse of the Heart
Laura Branigan,Self Control,Self Control
F.R. David,Words,Words - Original Version 1983
Cyndi Lauper,She's So Unusual,Time After Time
Bonnie Tyler,Secret Dreams and Forbidden Fire,"Holding Out for a Hero - From ""Footloose"" Soundtrack"
Eric Carmen,The Definitive Collection,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack"
Barbra Streisand;Bryan Adams,The Mirror Has Two Faces - Music From The Motion Picture,I Finally Found Someone (feat. Bryan Adams)
Desireless,François,Voyage voyage
The Bangles,The Essential Bangles,Eternal Flame
Eric Prydz,Call on Me (Radio Mix),Call on Me - Radio Mix
Paul Young,From Time To Time - The Singles Collection,Every Time You Go Away - Radio Edit
Irene Cara,What A Feeling,What A Feeling
Bob Sinclar;Cutee B.;DollarMan;Big Ali;Makedah,Rock This Party (Everybody Dance Now),Rock This Party - Everybody Dance Now
Eric Prydz,Pjanoo,Pjanoo - Radio Edit
Gloria Gaynor,I Will Survive,I Will Survive - 1981 Re-recording
Barbra Streisand,Guilty,Woman in Love
KC & The Sunshine Band,All In a Night's Work (Expanded Version),Give It Up
Imagination,In the Heat of the Night,Just an Illusion
Tina Turner,Foreign Affair,The Best
Michael Gray,Analog Is On,The Weekend - Radio Edit
Billy Ocean,The Very Best of Billy Ocean,Caribbean Queen (No More Love On the Run)
Bob Sinclar;Steve Edwards,World Hold on (Children of the Sky) [Radio Edit],World Hold on (Children of the Sky) [Radio Edit]
Poolside,Pacific Standard Time,Harvest Moon
The Bangles,The Essential Bangles,Walk Like an Egyptian
Cyndi Lauper,True Colors,True Colors
Robin S,Show Me Love,Show Me Love
iio;Nadia Ali,Poetica (feat. Nadia Ali),Rapture (feat.Nadia Ali)
Irene Cara,Fame (Original Motion Picture Soundtrack),Fame
Santa Esmeralda,Kill Bill Vol. 1 Original Soundtrack (PA Version),Don't Let Me Be Misunderstood
The Pointer Sisters,So Excited! (Expanded Edition),I'm So Excited
Roosevelt,Elliot - EP,Montreal
Spandau Ballet,True - The Digital E.P.,True - Single Edit
Kim Wilde,Kim Wilde,Kids In America
Bad Boys Blue,"Hot Girls, Bad Boys",You're a Woman
Bananarama,True Confessions (Collector's Edition),Venus
Leo Sayer,The Show Must Go On: The Leo Sayer Anthology,When I Need You - Remastered
Tina Turner,Private Dancer (30th Anniversary Issue),What's Love Got to Do with It - 2015 Remaster
Darius,Romance,Hot Hands
Tina Turner,Simply the Best,The Best - Edit
The Jacksons,The Essential Michael Jackson,Shake Your Body (Down to the Ground) - Single Edit
Bob Sinclar;Gary Pine,Love Generation (Radio Edit),Love Generation - Radio Edit
The Jacksons,The Essential Michael Jackson,"Can You Feel It - 7"" Version"
Paul Young,The Secret Of Association,Every Time You Go Away
Bananarama,Bananarama (Collector's Edition),Cruel Summer
Wham!,Make It Big,Everything She Wants
The C90s;Flight Facilities,Shine A Light,Shine A Light - Flight Facilities Remix
Billy Ocean,The Very Best of Billy Ocean,"When the Going Gets Tough, The Tough Get Going"
Barbra Streisand;Barry Gibb,Guilty,Guilty (feat. Barry Gibb)
Tina Turner,What's Love Got to Do with It?,Proud Mary
Paul Young,From Time To Time - The Singles Collection,Love of the Common People
Tina Charles,I Love To Love - The Best Of,I Love to Love
Atlantic Starr,All In The Name Of Love,Always
Wham!,Fantastic,Club Tropicana
Wham!,The Final,I'm Your Man
Pendulum,Immersion,Watercolour - Full Version; Single
Pendulum,Immersion,Witchcraft
Pendulum,Immersion,"The Island, Pt. I (Dawn)"
Pendulum,Immersion,Crush
Pendulum,In Silico,Propane Nightmares
Pendulum,Hold Your Colour,Hold Your Colour
Pendulum;DJ Fresh;$pyda;Tenor Fly,Hold Your Colour,Tarantula - Original Mix
Maduk;Veela,Ghost Assassin EP,Ghost Assassin - Original Mix
Pendulum;In Flames,Immersion,Self vs Self (feat. In Flames)
Pendulum,In Silico,The Tempest
Pendulum,Hold Your Colour,Blood Sugar - Original Mix
Pendulum,Hold Your Colour,Slam
ILLENIUM;Annika Wells,Awake,Crawl Outta Love
ILLENIUM;MAX,Awake,Beautiful Creatures (feat. MAX)
SLANDER;Said The Sky;JT Roach,Potions,Potions
Seven Lions;ILLENIUM;Said The Sky;HALIENE,Rush Over Me,Rush Over Me
Borgore;Sikdope,Unicorn Zombie Apocalypse,Unicorn Zombie Apocalypse
ILLENIUM;Liam O'Donnell;T-Mass;LZRD,Ashes (Remixes),It's All on U - T-Mass & LZRD Remix
Flux Pavilion,Lines in Wax,I Can't Stop
ILLENIUM;Said The Sky,Awake,Where'd U Go
SLANDER;Eric Leva,Superhuman,Superhuman
Krewella,Get Wet,Live for the Night
Eek-A-Mouse,Wa-Do-Dem,Ganja Smuggling
ILLENIUM;Quinn XCII,Ashes,With You
Peter Tosh;John Benitez,Mama Africa,Johnny B. Goode - 2002 Remaster
KDrew,"Free, Vol. 4",Bullseye
Barrington Levy,"Original Ragga Muffin, Pt. 1",Black Roses
Blackmill;Veela,Miracle,Let It Be (feat. Veela)
Blackmill,Miracle,Spirit of Life
Martin Garrix;Troye Sivan,There for You,There for You
Vicetone;Cozi Zuehlsdorff,Nevada,Nevada
Regard,Ride It,Ride It
Martin Garrix;David Guetta;Jamie Scott;Romy Dya,So Far Away (feat. Jamie Scott & Romy Dya),So Far Away (feat. Jamie Scott & Romy Dya)
Kygo;Conrad Sewell,Cloud Nine,Firestone
Skrillex;Rick Ross,Purple Lamborghini (with Rick Ross),Purple Lamborghini (with Rick Ross)
Vicetone;Tony Igy,Astronomia,Astronomia
Zara Larsson;MNEK,So Good,Never Forget You
DJ Snake;Lil Jon,Turn Down for What,Turn Down for What
Mike Perry;shy martin,The Ocean (feat. Shy Martin),The Ocean (feat. Shy Martin)
Joel Corry;MNEK,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK)
Marshmello;Kane Brown,One Thing Right,One Thing Right
Icona Pop;Charli XCX,THIS IS... ICONA POP,I Love It (feat. Charli XCX)
Zara Larsson,So Good,Ain't My Fault
Dillon Francis;DJ Snake,"Money Sucks, Friends Rule",Get Low
Kygo;Parson James,Cloud Nine,Stole the Show
Axel Thesleff,Bad Karma,Bad Karma
The Chainsmokers;Daya;ILLENIUM,Don't Let Me Down (Remixes) (feat. Daya),Don't Let Me Down (feat. Daya) - Illenium Remix
Kygo;Sasha Alex Sloan,Stargazing - EP,This Town (feat. Sasha Alex Sloan)
Skrillex;Sirah,Bangarang EP,Bangarang (feat. Sirah)
The Chainsmokers;Kygo,World War Joy,Family
Kygo;Justin Jesso,Stargazing - EP,Stargazing
The Chainsmokers,World War Joy,Push My Luck
Kygo;OneRepublic,Kids in Love,Stranger Things (feat. OneRepublic)
Yellow Claw;Yade Lauren,"Los Amsterdam (Remixes, Pt. 1)",Love & War - Yellow Claw G-Funk Remix
Mike Posner;Gigamesh,31 Minutes to Takeoff,Cooler Than Me - Single Mix
Martin Garrix;Dean Lewis,Used To Love (with Dean Lewis),Used To Love (with Dean Lewis)
Zara Larsson,WOW,WOW
Marshmello;Roddy Ricch,Project Dreams,Project Dreams
Ashe,Moral of the Story,Moral of the Story
Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost
Alan Walker,The Spectre,The Spectre
Bazzi,Soul Searching,I.F.L.Y.
Daft Punk;Pharrell Williams;Nile Rodgers,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
Bazzi,Soul Searching,Paradise
Calvin Harris;Ellie Goulding,Motion,Outside (feat. Ellie Goulding)
Calvin Harris,Motion,Summer
Burak Yeter;Danelle Sandoval,Tuesday (feat. Danelle Sandoval),Tuesday (feat. Danelle Sandoval)
Daft Punk;Julian Casablancas,Random Access Memories,Instant Crush (feat. Julian Casablancas)
Ashnikko,Daisy,Daisy
Lykke Li,sex money feelings die (slowed version),sex money feelings die - slowed version
blackbear;Tarro,idfc (Tarro Remix),idfc - Tarro Remix
Calvin Harris;Frank Ocean;Migos,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos)
Christian French,head first,head first
AJ Mitchell;Ava Max,Slow Dance (feat. Ava Max),Slow Dance (feat. Ava Max)
Calvin Harris,18 Months,Feel So Close - Radio Edit
Zara Larsson,So Good,I Can't Fall in Love Without You
Sasha Alex Sloan,Self Portrait,Too Sad To Cry
Calvin Harris;John Newman,Motion,Blame (feat. John Newman)
Lauv,~how i'm feeling~ (the extras),Love Like That
Calvin Harris,My Way,My Way
Bazzi;21 Savage,Soul Searching,Focus (feat. 21 Savage)
Daft Punk;Pharrell Williams;Nile Rodgers,Random Access Memories,Get Lucky (feat. Pharrell Williams & Nile Rodgers)
Clara Mae,I'm Not Her,I'm Not Her
Maribou State;Holly Walker,Tongue EP,Tongue
Calvin Harris;Ellie Goulding,18 Months,I Need Your Love (feat. Ellie Goulding)
FRENSHIP;Emily Warren,Truce - EP,Capsize
Melanie Martinez,K-12,Teacher's Pet
Kid Francescoli;Julia Minkin,Play Me Again,Moon (And It Went Like)
Yellow Claw,Amsterdam Twerk Music,DJ Turn It Up
Mick Gordon,Doom (Original Game Soundtrack),Bfg Division
Mick Gordon,Doom (Original Game Soundtrack),Rip & Tear
Blue Foundation,Life Of A Ghost,Eyes on Fire
Keys N Krates,Dum Dee Dum,Dum Dee Dum
Mick Gordon,Doom (Original Game Soundtrack),At Doom's Gate
San Holo,Light,Light
Parra for Cuva;Anna Naklab,Wicked Games (feat. Anna Naklab) [Radio Edit],Wicked Games (feat. Anna Naklab) - Radio Edit
Gaullin;Julian Perretta,Sweater Weather,Sweater Weather
3LAU;Justin Caruso;Iselin,Better With You,Better With You
Party Favor,Bap U,Bap U
Rezz,The Silence Is Deafening,Edge
Moderat,Moderat,A New Error
Metronomy,The English Riviera,The Look
Nightmares On Wax,In A Space Outta Sound,You Wish
Baauer,Harlem Shake,Harlem Shake
Rune RK;Firebeatz,Calabria (Firebeatz Remix),Calabria - Firebeatz Remix
Aphex Twin,...I Care Because You Do,Alberto Balsalm
Malaa,Notorious,Notorious
Mick Gordon,Doom (Original Game Soundtrack),"Rust, Dust & Guts"
Nicolas Jaar,Time for Us,Mi Mujer
Bonobo,Black Sands,Kong
Hooverphonic,The Magnificent Tree,Mad About You
Archive,Controlling Crowds (Parts I-III),Bullets
Nouvelle Vague;Camille,Nouvelle vague,In a Manner of Speaking
Bonobo,The North Borders,Cirrus
Zero 7;Sophie Barker,Simple Things,In The Waiting Line
Chromatics,Cherry (Deluxe),Cherry
Chromatics,Kill For Love,Into The Black
Carnage;Lil Yachty,Mase in '97,Mase in '97
Tourist;Ardyn,We Stayed Up All Night,We Stayed Up All Night
Hippie Sabotage,The Sunny Album (Deluxe Edition),Your Soul
Romare,"Love Songs, Pt. 1",Hey Now - When I Give You All My Lovin'
Justice,Justice,D.A.N.C.E
XXXTENTACION;Trippie Redd,17,Fuck Love (feat. Trippie Redd)
XXXTENTACION;PnB Rock;Trippie Redd,Bad Vibes Forever,bad vibes forever
XXXTENTACION,Bad Vibes Forever,Ex Bitch
XXXTENTACION,17,Revenge
XXXTENTACION,Revenge,I Don't Wanna Do This Anymore
XXXTENTACION,17,Everybody Dies In Their Nightmares
XXXTENTACION,Look At Me!,Look At Me!
XXXTENTACION,17,Carry On
Promoting Sounds;Powfu;Ouse,Dead Eyes,Dead Eyes
XXXTENTACION;Ski Mask The Slump God,Revenge,RIP Roach
Josh A,Fearless,Pain
XXXTENTACION,Revenge,YuNg BrAtZ
RADWIMPS,Your Name.,Sparkle - movie ver.
Lil Pump,Lil Pump,Gucci Gang
XXXTENTACION,17,Depression & Obsession
Brennan Savage,Look at Me Now,Look at Me Now
Paramore,Paramore,Still into You
Lil Peep,"Come Over When You're Sober, Pt. 1",Save That Shit
RADWIMPS,Your Name.,Dream lantern
XXXTENTACION,17,Save Me
Josh A;iamjakehill,Better off Dead,Suicidal Thoughts
XXXTENTACION,Revenge,King
RADWIMPS,Your Name.,Nandemonaiya - movie ver.
XXXTENTACION,Bad Vibes Forever,ATTENTION!
RADWIMPS,Your Name.,Zenzenzense - movie ver.
iamjakehill,Spectrum,Die a King
My Chemical Romance,The Black Parade,Welcome to the Black Parade
XXXTENTACION,Revenge,Looking for a Star
XXXTENTACION,Bad Vibes Forever,Triumph
XXXTENTACION,"XXXTENTACION Presents: Members Only, Vol. 4",Sauce!
XXXTENTACION;Ski Mask The Slump God,"XXXTENTACION Presents: Members Only, Vol. 3",Off the Wall!
salvia palth,melanchole,i was all over her
Lil Peep,"Come Over When You're Sober, Pt. 1",Benz Truck (гелик)
My Chemical Romance,The Black Parade,I Don't Love You
Josh A,Fearless,Fearless
Lil Pump,Lil Pump,Boss
Paramore,After Laughter,Hard Times
Paramore,Brand New Eyes,The Only Exception
XXXTENTACION,17,Ayala (Outro)
salvia palth,melanchole,(dream)
Lil Peep;Lil Tracy,"Come Over When You're Sober, Pt. 1",Awful Things
My Chemical Romance,Three Cheers for Sweet Revenge,I'm Not Okay (I Promise)
Lil Peep;ILOVEMAKONNEN;Fall Out Boy,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
My Chemical Romance,Three Cheers for Sweet Revenge,Helena
My Chemical Romance,The Black Parade,Cancer
My Chemical Romance,The Black Parade,Famous Last Words
ONE OK ROCK,Niche Syndrome,Wherever you are
Lil Peep,"Come Over When You're Sober, Pt. 1",U Said
Lil Happy Lil Sad,Let Me Die,Let Me Die
eli.,the way we used to love.,worthless
Lil Peep,"Come Over When You're Sober, Pt. 1",The Brightside
